epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4899,2.04014,2.51589,1.38204,0.28153,0.39024,0.22756,0.09663,2.00762,2.74988,1.61301,0.00058,0.00058,0.00058
2,20.8528,2.07692,1.84418,1.42152,0.00141,0.01707,0.0004,8e-05,4.38814,inf,5.87173,0.00116832,0.00116832,0.00116832
3,30.981,2.05323,1.7127,1.46887,0.00022,0.00732,0.00011,3e-05,nan,nan,nan,0.00174476,0.00174476,0.00174476
4,41.0122,1.97593,1.74097,1.43796,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,51.1238,1.95432,1.68196,1.4339,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,61.2471,1.92902,1.58169,1.40296,0.32379,0.33415,0.23618,0.10186,2.18757,3.92025,1.71858,0.001901,0.001901,0.001901
7,71.4359,1.8282,1.53919,1.3897,0.46084,0.43902,0.39189,0.18929,1.91687,2.6595,1.52182,0.0018812,0.0018812,0.0018812
8,81.6593,1.83954,1.4632,1.34949,0.48489,0.47317,0.44348,0.20761,1.90612,2.11118,1.52573,0.0018614,0.0018614,0.0018614
9,92.0824,1.84246,1.45706,1.34321,0.47787,0.3878,0.40432,0.18257,2.04785,3.48073,1.63063,0.0018416,0.0018416,0.0018416
10,102.3,1.72144,1.39937,1.29662,0.48162,0.53171,0.47261,0.24804,1.80274,1.83275,1.46196,0.0018218,0.0018218,0.0018218
11,112.556,1.72894,1.38655,1.30326,0.57391,0.50244,0.48671,0.23728,1.85931,1.72162,1.51423,0.001802,0.001802,0.001802
12,122.785,1.71053,1.3159,1.26938,0.52501,0.56098,0.50532,0.25951,1.82943,1.68789,1.47744,0.0017822,0.0017822,0.0017822
13,133.138,1.67054,1.29554,1.2652,0.48991,0.49512,0.47275,0.22563,1.94622,1.84076,1.55922,0.0017624,0.0017624,0.0017624
14,143.345,1.73172,1.41635,1.29591,0.35691,0.3,0.24819,0.1181,2.05553,2.02794,1.69131,0.0017426,0.0017426,0.0017426
15,153.499,1.67313,1.33079,1.26644,0.50682,0.5561,0.51622,0.26381,1.81453,1.5619,1.42312,0.0017228,0.0017228,0.0017228
16,163.838,1.68184,1.33069,1.26263,0.45947,0.58049,0.50368,0.25688,1.74867,1.9606,1.39903,0.001703,0.001703,0.001703
17,174.036,1.63211,1.3192,1.26139,0.58777,0.57073,0.55403,0.29947,1.6604,1.42053,1.37487,0.0016832,0.0016832,0.0016832
18,184.318,1.59462,1.24671,1.223,0.56993,0.53415,0.54749,0.29758,1.63952,1.40818,1.32836,0.0016634,0.0016634,0.0016634
19,194.534,1.59054,1.25282,1.23595,0.5137,0.51707,0.50684,0.27692,1.69702,1.49988,1.40247,0.0016436,0.0016436,0.0016436
20,204.694,1.59302,1.30222,1.25606,0.51644,0.62778,0.54344,0.29475,1.6733,1.43864,1.36863,0.0016238,0.0016238,0.0016238
21,214.934,1.62091,1.31799,1.24152,0.60869,0.52683,0.57,0.30307,1.68102,1.44486,1.3444,0.001604,0.001604,0.001604
